#  dt dtz fluor_diode izero_diode refl scanNr sry sty
1.000000014901161194e-01 1.077340030670166016e+01 1.831220000000000000e+05 6.806400000000000000e+04 7.750960000000000000e+05 4.860000000000000000e+02 4.374600052833557129e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.083500003814697266e+01 1.580510000000000000e+05 6.805200000000000000e+04 7.781860000000000000e+05 4.860000000000000000e+02 4.399600028991699219e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.089659976959228516e+01 1.540090000000000000e+05 6.810600000000000000e+04 7.871700000000000000e+05 4.860000000000000000e+02 4.424600005149841309e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.095820045471191406e+01 1.398560000000000000e+05 6.807900000000000000e+04 7.504010000000000000e+05 4.860000000000000000e+02 4.449599981307983398e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.101959991455078125e+01 1.277510000000000000e+05 6.811300000000000000e+04 7.510830000000000000e+05 4.860000000000000000e+02 4.474599957466125488e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.108119964599609375e+01 1.363070000000000000e+05 6.804600000000000000e+04 7.342460000000000000e+05 4.860000000000000000e+02 4.499599933624267578e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.114280033111572266e+01 1.265710000000000000e+05 6.808200000000000000e+04 7.397970000000000000e+05 4.860000000000000000e+02 4.524599909782409668e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.120440006256103516e+01 1.323440000000000000e+05 6.804700000000000000e+04 7.294690000000000000e+05 4.860000000000000000e+02 4.549599885940551758e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.126599979400634766e+01 1.352460000000000000e+05 6.811400000000000000e+04 7.080210000000000000e+05 4.860000000000000000e+02 4.574599862098693848e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.132740020751953125e+01 1.306930000000000000e+05 6.807000000000000000e+04 6.947690000000000000e+05 4.860000000000000000e+02 4.599600136280059814e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.138899993896484375e+01 1.308930000000000000e+05 6.811000000000000000e+04 6.745930000000000000e+05 4.860000000000000000e+02 4.624600112438201904e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.145059967041015625e+01 1.367680000000000000e+05 6.803200000000000000e+04 6.513520000000000000e+05 4.860000000000000000e+02 4.649600088596343994e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.151220035552978516e+01 1.539380000000000000e+05 6.808200000000000000e+04 6.076550000000000000e+05 4.860000000000000000e+02 4.674600064754486084e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.157380008697509766e+01 1.795500000000000000e+05 6.801700000000000000e+04 5.716160000000000000e+05 4.860000000000000000e+02 4.699600040912628174e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.163539981842041016e+01 1.917110000000000000e+05 6.808100000000000000e+04 5.442680000000000000e+05 4.860000000000000000e+02 4.724600017070770264e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.169680023193359375e+01 2.112710000000000000e+05 6.808500000000000000e+04 5.465730000000000000e+05 4.860000000000000000e+02 4.749599993228912354e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.175839996337890625e+01 2.248020000000000000e+05 6.811200000000000000e+04 5.556100000000000000e+05 4.860000000000000000e+02 4.774599969387054443e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.181999969482421875e+01 2.296100000000000000e+05 6.811400000000000000e+04 6.080370000000000000e+05 4.860000000000000000e+02 4.799599945545196533e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.188160037994384766e+01 2.348200000000000000e+05 6.803500000000000000e+04 6.687140000000000000e+05 4.860000000000000000e+02 4.824599921703338623e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.194320011138916016e+01 2.136840000000000000e+05 6.810300000000000000e+04 6.940220000000000000e+05 4.860000000000000000e+02 4.849599897861480713e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.200459957122802734e+01 2.094970000000000000e+05 6.803200000000000000e+04 7.236990000000000000e+05 4.860000000000000000e+02 4.874599874019622803e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.206620025634765625e+01 1.962860000000000000e+05 6.810200000000000000e+04 7.435250000000000000e+05 4.860000000000000000e+02 4.899600148200988770e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.212779998779296875e+01 1.941330000000000000e+05 6.802500000000000000e+04 7.521390000000000000e+05 4.860000000000000000e+02 4.924600124359130859e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.218939971923828125e+01 1.888900000000000000e+05 6.810000000000000000e+04 7.689930000000000000e+05 4.860000000000000000e+02 4.949600100517272949e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.225100040435791016e+01 1.842280000000000000e+05 6.804100000000000000e+04 7.843890000000000000e+05 4.860000000000000000e+02 4.974600076675415039e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.231260013580322266e+01 1.862700000000000000e+05 6.803100000000000000e+04 7.476100000000000000e+05 4.860000000000000000e+02 4.999600052833557129e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.237399959564208984e+01 1.822760000000000000e+05 6.807900000000000000e+04 7.474730000000000000e+05 4.860000000000000000e+02 5.024600028991699219e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.243560028076171875e+01 1.856560000000000000e+05 6.812000000000000000e+04 7.497180000000000000e+05 4.860000000000000000e+02 5.049600005149841309e-01 0.000000000000000000e+00
